Date,Distance From Datum,Wtemp,name
2016-08-23,2.84,21.5,Aunt Betty Pond
2017-06-02,1.52,12.7,Aunt Betty Pond
2017-06-09,1.58,14.6,Aunt Betty Pond
2017-06-16,1.59,15.8,Aunt Betty Pond
2017-06-23,1.49,20.40,Aunt Betty Pond
2017-06-30,1.55,19.9,Aunt Betty Pond
2017-07-14,1.69,18.5,Aunt Betty Pond
2017-07-21,1.87,21.6,Aunt Betty Pond
2017-07-27,2,20.7,Aunt Betty Pond
2017-08-04,2.16,21.5,Aunt Betty Pond
2017-08-25,2.51,18.5,Aunt Betty Pond
2017-09-01,2.65,15.1,Aunt Betty Pond
2017-09-15,2.41,18.9,Aunt Betty Pond
2017-09-22,2.48,16.2,Aunt Betty Pond
2017-09-29,2.63,18.9,Aunt Betty Pond
2017-10-06,2.72,14.4,Aunt Betty Pond
2017-10-13,2.63,14.8,Aunt Betty Pond
2017-10-20,2.68,11.5,Aunt Betty Pond
2017-10-27,1.61,12.8,Aunt Betty Pond
2018-05-18,1.92,14.3,Aunt Betty Pond
2018-07-20,2.32,19.50,Aunt Betty Pond
2018-08-03,2.61,24.0,Aunt Betty Pond
2018-08-17,2.79,20.60,Aunt Betty Pond
2018-09-14,2.24,14.8,Aunt Betty Pond
2018-09-21,2.42,14.5,Aunt Betty Pond
2018-10-12,1.71,11.4,Aunt Betty Pond
2018-10-19,1.81,5.80,Aunt Betty Pond
2018-10-26,1.75,3.5,Aunt Betty Pond
2018-11-05,1.68,9.9,Aunt Betty Pond
2019-06-14,1.67,11.80,Aunt Betty Pond
2019-07-12,2.16,16.7,Aunt Betty Pond
