Date,Distance From Datum,Wtemp,name
2017-05-05,0.8,12.2,Beaver Dam
2017-05-12,0.57,13.5,Beaver Dam
2017-05-19,0.59,20.1,Beaver Dam
2017-05-26,0.71,15.20,Beaver Dam
2017-06-02,0.6,19.6,Beaver Dam
2017-06-09,0.55,16.9,Beaver Dam
2017-06-16,0.45,19.6,Beaver Dam
2017-06-23,0.48,22.3,Beaver Dam
2017-06-30,0.44,22.7,Beaver Dam
2017-07-07,0.45,22.6,Beaver Dam
2017-07-14,0.39,23.8,Beaver Dam
2017-07-20,0.3,30.2,Beaver Dam
2017-07-27,0.2,23.6,Beaver Dam
2017-08-04,0.08,25.7,Beaver Dam
2017-08-11,0.02,23.4,Beaver Dam
2017-08-25,0.07,21.4,Beaver Dam
2017-09-01,0.17,14.7,Beaver Dam
2017-09-08,0.03,18.7,Beaver Dam
2017-09-21,0.11,22.3,Beaver Dam
2017-09-29,0.24,24.8,Beaver Dam
2017-10-06,0.27,16.1,Beaver Dam
2017-10-13,0.2,18.1,Beaver Dam
2017-10-20,0.26,18.1,Beaver Dam
2017-11-03,0.62,14.4,Beaver Dam
2018-04-27,0.54,11.1,Beaver Dam
2018-05-04,0.49,18.3,Beaver Dam
2018-05-11,0.44,16.5,Beaver Dam
2018-05-18,0.45,20.7,Beaver Dam
2018-05-25,0.43,17.5,Beaver Dam
2018-06-01,0.3,20.8,Beaver Dam
2018-06-08,0.3,16.6,Beaver Dam
2018-06-15,0.17,20.1,Beaver Dam
2018-06-29,0.29,20.1,Beaver Dam
2018-07-06,0.26,24.9,Beaver Dam
2018-07-13,0.09,26.8,Beaver Dam
2018-07-18,0.03,24.0,Beaver Dam
2018-07-27,0.05,29.4,Beaver Dam
2018-08-03,0.12,29.6,Beaver Dam
2018-08-10,0.12,27.4,Beaver Dam
2018-08-17,0.24,22.7,Beaver Dam
2018-08-24,0.16,23.3,Beaver Dam
2018-08-31,0.33,22.5,Beaver Dam
2018-09-06,0.44,28.7,Beaver Dam
2018-09-14,0.09,19.8,Beaver Dam
2018-09-21,0.06,20.4,Beaver Dam
2018-09-28,0.33,16.5,Beaver Dam
2018-10-04,0.76,14.8,Beaver Dam
2018-10-12,0.58,14.1,Beaver Dam
2018-10-19,0.62,7.8,Beaver Dam
2018-10-26,0.59,5.2,Beaver Dam
2018-11-05,0.36,8.0,Beaver Dam
2018-11-09,0.31,9.9,Beaver Dam
2018-11-15,0.35,1.5,Beaver Dam
2019-05-17,0.44,12.1,Beaver Dam
2019-05-30,0.5,17.0,Beaver Dam
2019-06-07,0.45,18.4,Beaver Dam
2019-06-14,0.55,20.5,Beaver Dam
2019-06-21,0.85,17.7,Beaver Dam
2019-06-28,0.68,22.0,Beaver Dam
2019-07-05,0.73,25.9,Beaver Dam
2019-07-12,0.68,20.9,Beaver Dam
2019-07-18,0.65,27.8,Beaver Dam
