Date,Distance From Datum,Wtemp,name
2017-05-05,0.62,8.8,Bubble Pond
2017-05-12,0.65,10.5,Bubble Pond
2017-05-19,0.62,14.0,Bubble Pond
2017-05-26,0.51,13.8,Bubble Pond
2017-06-02,0.75,17.80,Bubble Pond
2017-06-09,0.84,15.4,Bubble Pond
2017-06-16,0.87,16.8,Bubble Pond
2017-06-23,0.78,19.5,Bubble Pond
2017-06-29,0.86,24.8,Bubble Pond
2017-07-07,0.85,21.7,Bubble Pond
2017-07-14,0.98,22.5,Bubble Pond
2017-07-20,0.99,29.5,Bubble Pond
2017-07-27,1,21.7,Bubble Pond
2017-08-04,1.05,23.1,Bubble Pond
2017-08-11,1.1,21.7,Bubble Pond
2017-08-25,1.09,21.6,Bubble Pond
2017-09-01,1.16,19.1,Bubble Pond
2017-09-08,0.79,22.5,Bubble Pond
2017-09-15,0.88,19.4,Bubble Pond
2017-09-21,0.92,18.8,Bubble Pond
2017-09-29,0.99,19.1,Bubble Pond
2017-10-06,1.11,16.3,Bubble Pond
2017-10-13,0.98,15.8,Bubble Pond
2017-10-20,1.03,17.5,Bubble Pond
2017-10-27,1.42,15.0,Bubble Pond
2017-11-03,0.8,14.5,Bubble Pond
2018-04-27,0.29,7.3,Bubble Pond
2018-05-04,0.68,14.4,Bubble Pond
2018-05-11,0.81,12.6,Bubble Pond
2018-05-18,0.92,17.1,Bubble Pond
2018-05-25,0.88,15.7,Bubble Pond
2018-06-01,0.9,18.0,Bubble Pond
2018-06-08,0.9,15.5,Bubble Pond
2018-06-15,0.98,17.5,Bubble Pond
2018-06-22,1.02,20.1,Bubble Pond
2018-06-29,0.43,20.8,Bubble Pond
2018-07-05,0.87,28.4,Bubble Pond
2018-07-13,0.97,21.7,Bubble Pond
2018-07-18,0.99,20.0,Bubble Pond
2018-07-27,1.06,25.8,Bubble Pond
2018-08-03,0.94,26.8,Bubble Pond
2018-08-10,0.95,26.7,Bubble Pond
2018-08-17,1.03,22.6,Bubble Pond
2018-08-24,1.07,22.5,Bubble Pond
2018-08-31,1.13,20.9,Bubble Pond
2018-09-06,1.23,26.0,Bubble Pond
2018-09-14,0.58,19.7,Bubble Pond
2018-09-20,0.83,19.0,Bubble Pond
2018-09-28,0.54,16.6,Bubble Pond
2018-10-04,0.2,15.1,Bubble Pond
2018-10-12,0.3,13.9,Bubble Pond
2018-10-19,0.53,10.1,Bubble Pond
2018-10-26,0.65,7.1,Bubble Pond
2018-11-05,0.27,7.6,Bubble Pond
2018-11-09,0.41,8.3,Bubble Pond
2018-11-15,0.27,4.0,Bubble Pond
2019-05-30,0.7,12.3,Bubble Pond
2019-06-07,0.81,15.5,Bubble Pond
2019-06-14,0.65,13.2,Bubble Pond
2019-06-21,1.95,16.3,Bubble Pond
2019-06-27,0.34,18.7,Bubble Pond
2019-07-05,0.7,25.3,Bubble Pond
2019-07-12,0.75,19.6,Bubble Pond
2019-07-15,0.83,22.0,Bubble Pond
