Date,Distance From Datum,Wtemp,name
2017-05-05,0.69,8.2,Eagle Lake
2017-05-12,0.78,10.1,Eagle Lake
2017-05-19,0.65,14.8,Eagle Lake
2017-05-26,0.73,12.1,Eagle Lake
2017-06-02,0.84,15.40,Eagle Lake
2017-06-09,0.98,15.2,Eagle Lake
2017-06-16,1.03,17.2,Eagle Lake
2017-06-23,0.99,18.9,Eagle Lake
2017-06-30,1.1,20.3,Eagle Lake
2017-07-07,1.09,21.8,Eagle Lake
2017-07-14,1.2,21.2,Eagle Lake
2017-07-27,1.54,21.6,Eagle Lake
2017-08-04,1.67,23.5,Eagle Lake
2017-08-11,1.79,22.7,Eagle Lake
2017-08-25,2.03,21.5,Eagle Lake
2017-09-01,2.18,18.3,Eagle Lake
2017-09-08,2.17,17.4,Eagle Lake
2017-09-15,2.24,19.7,Eagle Lake
2017-09-21,2.33,18.0,Eagle Lake
2017-09-29,2.53,18.4,Eagle Lake
2017-10-06,2.81,17.5,Eagle Lake
2017-10-13,2.63,16.5,Eagle Lake
2017-10-20,0.34,15.6,Eagle Lake
2017-10-27,1.99,16.80,Eagle Lake
2017-11-03,1.82,14.8,Eagle Lake
2018-04-27,0.03,8.0,Eagle Lake
2018-05-04,0.75,15.5,Eagle Lake
2018-05-11,0.92,12.0,Eagle Lake
2018-05-18,1,13.5,Eagle Lake
2018-05-25,1.1,13.70,Eagle Lake
2018-06-01,1.2,17.0,Eagle Lake
2018-06-08,1.23,16.3,Eagle Lake
2018-06-15,1.37,15.8,Eagle Lake
2018-06-22,1.48,17.5,Eagle Lake
2018-06-29,1.25,18.5,Eagle Lake
2018-07-06,1.23,24.3,Eagle Lake
2018-07-13,1.42,21.30,Eagle Lake
2018-07-20,1.56,21.4,Eagle Lake
2018-07-27,1.67,22.9,Eagle Lake
2018-08-03,1.81,27.2,Eagle Lake
2018-08-10,1.87,28.1,Eagle Lake
2018-08-17,2.06,21.7,Eagle Lake
2018-08-24,2.19,21.0,Eagle Lake
2018-08-31,2.37,21.7,Eagle Lake
2018-09-07,0.57,21.8,Eagle Lake
2018-09-14,2.03,19.0,Eagle Lake
2018-09-21,2.12,19.1,Eagle Lake
2018-09-28,1.98,16.3,Eagle Lake
2018-10-12,1.27,14.9,Eagle Lake
2018-10-19,0.89,12.7,Eagle Lake
2018-10-26,0.95,10.4,Eagle Lake
2018-11-05,0.46,9.90,Eagle Lake
2018-11-09,0.52,10.7,Eagle Lake
2018-11-15,0.45,7.2,Eagle Lake
2019-05-17,0.85,9.7,Eagle Lake
2019-05-30,0.9,12.9,Eagle Lake
2019-06-07,0.91,18.5,Eagle Lake
2019-06-14,0.44,15.9,Eagle Lake
2019-06-21,0.28,17.50,Eagle Lake
2019-06-28,0.65,23.2,Eagle Lake
2019-07-05,0.8,25.0,Eagle Lake
2019-07-12,1,21.8,Eagle Lake
2019-07-18,1.01,22.4,Eagle Lake
