Date,Distance From Datum,Wtemp,name
1999-06-07,-1.29,n/a,Echo Lake
1999-06-17,-1.19,n/a,Echo Lake
1999-06-25,-1.29,n/a,Echo Lake
1999-07-02,-1.36,n/a,Echo Lake
1999-07-08,-1.37,n/a,Echo Lake
1999-07-15,-1.42,n/a,Echo Lake
1999-07-23,-1.52,n/a,Echo Lake
1999-08-06,-1.73,n/a,Echo Lake
1999-08-13,-1.77,n/a,Echo Lake
1999-08-19,-1.77,n/a,Echo Lake
1999-08-25,-1.85,n/a,Echo Lake
1999-09-03,-1.95,n/a,Echo Lake
1999-09-10,-2,n/a,Echo Lake
1999-09-17,-1.81,n/a,Echo Lake
1999-09-23,-1.39,n/a,Echo Lake
1999-09-27,-1.28,n/a,Echo Lake
1999-10-07,-1.34,n/a,Echo Lake
1999-10-15,-1.18,n/a,Echo Lake
1999-10-22,-1.02,n/a,Echo Lake
1999-11-15,-0.68,n/a,Echo Lake
2000-05-03,-0.35,10.5,Echo Lake
2000-05-11,-0.62,10.6,Echo Lake
2000-05-18,-0.83,12.1,Echo Lake
2000-05-25,-0.58,12.7,Echo Lake
2000-06-02,-0.78,n/a,Echo Lake
2000-06-09,-0.84,15.8,Echo Lake
2000-06-16,-0.93,15.3,Echo Lake
2000-06-19,-0.93,20.9,Echo Lake
2000-06-26,-1.1,21.9,Echo Lake
2000-07-02,-1.1,21.1,Echo Lake
2000-07-10,-1.15,22.7,Echo Lake
2000-07-17,-1.08,21.6,Echo Lake
2000-07-28,-1.21,20.6,Echo Lake
2000-07-31,-1.24,n/a,Echo Lake
2000-08-06,-1.31,22.9,Echo Lake
2000-08-25,-1.44,22.5,Echo Lake
2000-08-31,-1.53,22.7,Echo Lake
2000-09-08,-1.61,21.8,Echo Lake
2000-09-14,-1.64,21.1,Echo Lake
2000-09-21,-1.65,18.8,Echo Lake
2000-09-28,-1.7,15.5,Echo Lake
2000-10-04,1.34,17.4,Echo Lake
2000-10-05,-1.7,16.5,Echo Lake
2000-10-13,-1.56,14.4,Echo Lake
2000-10-19,-1.54,12.7,Echo Lake
2000-10-26,-1.5,13,Echo Lake
2000-11-02,-1.05,9.5,Echo Lake
2000-11-09,-0.92,9.3,Echo Lake
2001-05-25,0.79,17.1,Echo Lake
2001-05-30,0.74,16.1,Echo Lake
2001-06-08,0.63,18.4,Echo Lake
2001-06-15,0.71,23.3,Echo Lake
2001-06-22,0.69,20.3,Echo Lake
2001-07-06,0.93,21.6,Echo Lake
2001-07-13,1.01,21.4,Echo Lake
2001-07-20,1.1,24.6,Echo Lake
2001-07-25,1.16,25.4,Echo Lake
2001-08-03,1.34,23,Echo Lake
2001-08-17,1.48,23.5,Echo Lake
2001-08-22,1.51,22.3,Echo Lake
2001-08-31,1.63,22,Echo Lake
2001-09-06,1.74,20.4,Echo Lake
2001-09-14,1.92,19.2,Echo Lake
2001-09-21,1.92,19.2,Echo Lake
2001-09-26,1.85,21.2,Echo Lake
2001-10-04,1.9,19,Echo Lake
2001-10-11,2.1,15.5,Echo Lake
2001-10-17,1.89,13.4,Echo Lake
2001-10-25,1.92,14.5,Echo Lake
2001-11-01,1.92,11,Echo Lake
2001-11-15,1.93,7.8,Echo Lake
2001-11-23,1.96,6.2,Echo Lake
2001-11-29,1.91,5.5,Echo Lake
2001-12-06,1.78,7.4,Echo Lake
2001-12-14,1.77,5.8,Echo Lake
2002-03-28,0.15,2.7,Echo Lake
2002-05-17,0.67,8.3,Echo Lake
2002-05-31,0.9,11.3,Echo Lake
2002-06-07,0.92,11.9,Echo Lake
2002-06-14,0.82,13.2,Echo Lake
2002-06-28,0.95,19.6,Echo Lake
2002-07-05,1.02,21.3,Echo Lake
2002-07-12,1.45,23.6,Echo Lake
2002-07-18,1.49,21.3,Echo Lake
2002-07-26,1.43,20.6,Echo Lake
2002-08-09,1.55,n/a,Echo Lake
2002-08-16,1.68,24.6,Echo Lake
2002-08-23,1.77,23.3,Echo Lake
2003-05-23,0.91,13.1,Echo Lake
2003-05-30,0.87,13.9,Echo Lake
2003-06-12,0.89,n/a,Echo Lake
2003-06-20,0.91,15.8,Echo Lake
2003-06-27,1.08,22.9,Echo Lake
2003-07-03,1.24,22.5,Echo Lake
2003-07-11,1.29,21.5,Echo Lake
2003-07-18,1.34,23.8,Echo Lake
2003-07-31,1.36,24.5,Echo Lake
2003-08-08,1.36,21.3,Echo Lake
2003-08-14,1.32,23.9,Echo Lake
2003-08-21,1.43,25.3,Echo Lake
2003-08-29,1.6,21.9,Echo Lake
2003-09-05,1.54,n/a,Echo Lake
2003-09-12,1.61,20,Echo Lake
2003-09-16,1.67,19.5,Echo Lake
2003-09-19,1.69,20.8,Echo Lake
2003-10-03,1.57,17,Echo Lake
2003-10-24,1.2,11.8,Echo Lake
2004-04-30,0.76,9.2,Echo Lake
2004-05-20,1.18,NA,Echo Lake
2004-05-28,0.9,12.1,Echo Lake
2004-06-04,0.96,12.7,Echo Lake
