Date,Distance From Datum,Wtemp,name
1999-06-02,-1.31,n/a,Upper Hadlock
1999-06-11,-1.36,n/a,Upper Hadlock
1999-06-17,-1.36,n/a,Upper Hadlock
1999-06-25,-1.41,n/a,Upper Hadlock
1999-07-01,-1.61,n/a,Upper Hadlock
1999-07-14,-1.72,n/a,Upper Hadlock
1999-07-23,-1.85,n/a,Upper Hadlock
1999-08-02,-2.58,n/a,Upper Hadlock
1999-08-13,-3.17,n/a,Upper Hadlock
1999-08-19,-3.5,n/a,Upper Hadlock
1999-08-26,-3.5,n/a,Upper Hadlock
1999-09-03,-3.5,n/a,Upper Hadlock
1999-09-10,-3.5,n/a,Upper Hadlock
1999-09-17,-3.41,n/a,Upper Hadlock
1999-09-23,-0.45,n/a,Upper Hadlock
1999-09-27,-1.25,n/a,Upper Hadlock
1999-10-07,-1.66,n/a,Upper Hadlock
1999-10-15,-0.82,n/a,Upper Hadlock
1999-10-22,-0.4,n/a,Upper Hadlock
1999-11-15,0,n/a,Upper Hadlock
2000-05-03,-0.28,9.6,Upper Hadlock
2000-05-11,-0.1,11.1,Upper Hadlock
2000-05-18,-0.2,13,Upper Hadlock
2000-05-25,0.05,13.1,Upper Hadlock
2000-06-02,-0.17,n/a,Upper Hadlock
2000-06-09,-0.31,16.4,Upper Hadlock
2000-06-15,-0.23,16.8,Upper Hadlock
2000-06-19,-0.18,20.3,Upper Hadlock
2000-06-26,-0.13,21.9,Upper Hadlock
2000-07-02,-0.17,22.5,Upper Hadlock
2000-07-10,-0.12,20.4,Upper Hadlock
2000-07-17,0.26,21,Upper Hadlock
2000-07-24,-0.01,20.7,Upper Hadlock
2000-07-31,-0.12,n/a,Upper Hadlock
2000-08-05,-0.14,22.3,Upper Hadlock
2000-08-14,-0.17,21.8,Upper Hadlock
2000-08-25,-0.21,21.3,Upper Hadlock
2000-08-31,-0.27,22.2,Upper Hadlock
2000-09-08,-0.33,19.2,Upper Hadlock
2000-09-14,-0.94,18.9,Upper Hadlock
2000-09-21,-0.92,17.9,Upper Hadlock
2000-09-26,-0.9,n/a,Upper Hadlock
2000-10-05,-0.92,14.5,Upper Hadlock
