Date,Distance From Datum,Wtemp,name
2017-05-12,1.2,13.0,Hodgdon Pond
2017-05-26,0.9,14.5,Hodgdon Pond
2017-06-02,0.77,15.6,Hodgdon Pond
2017-06-09,0.65,16.20,Hodgdon Pond
2017-06-16,0.51,18.5,Hodgdon Pond
2017-06-23,1,19.6,Hodgdon Pond
2017-07-01,1.12,21.5,Hodgdon Pond
2017-07-07,1.68,22.4,Hodgdon Pond
2017-07-14,2.03,20.3,Hodgdon Pond
2017-07-21,2.11,29.10,Hodgdon Pond
2017-08-04,2.27,24.70,Hodgdon Pond
2017-08-11,2.33,25.3,Hodgdon Pond
2017-08-25,2.37,20.5,Hodgdon Pond
2017-09-01,2.38,16.00,Hodgdon Pond
2017-09-15,2.11,18.1,Hodgdon Pond
2017-09-21,2.38,21.50,Hodgdon Pond
2017-09-29,2.45,17.0,Hodgdon Pond
2017-10-06,2.42,15.6,Hodgdon Pond
2017-10-12,0.83,10.1,Hodgdon Pond
2017-10-13,2.4,10.1,Hodgdon Pond
2017-10-20,2.43,15.0,Hodgdon Pond
2017-11-03,2.15,13.2,Hodgdon Pond
2018-05-11,0.75,14.5,Hodgdon Pond
2018-06-15,0.73,18.6,Hodgdon Pond
2018-06-29,0.42,26.4,Hodgdon Pond
2018-07-13,0.62,28.30,Hodgdon Pond
2018-07-27,0.7,27.10,Hodgdon Pond
2018-08-03,0.75,24.3,Hodgdon Pond
2018-08-17,0.83,23.5,Hodgdon Pond
2018-08-24,0.88,23.5,Hodgdon Pond
2018-08-31,0.96,21.40,Hodgdon Pond
2018-09-14,0.41,20.9,Hodgdon Pond
2018-09-20,0.75,19.5,Hodgdon Pond
2018-09-28,0.67,17.8,Hodgdon Pond
2018-10-04,0.17,15.50,Hodgdon Pond
2018-10-12,0.28,13.8,Hodgdon Pond
2018-10-26,0.6,4.9,Hodgdon Pond
2018-11-05,0.22,7.9,Hodgdon Pond
2018-11-09,0.34,8.9,Hodgdon Pond
2018-11-15,1.23,3.0,Hodgdon Pond
2019-05-28,0.17,15.1,Hodgdon Pond
2019-06-14,0.42,17.1,Hodgdon Pond
2019-06-21,0.88,18.0,Hodgdon Pond
2019-06-27,0.2,20.40,Hodgdon Pond
2019-07-05,0.18,25.90,Hodgdon Pond
2019-07-12,1.97,19.9,Hodgdon Pond
2019-07-19,2.3,24.3,Hodgdon Pond
