Date,Distance From Datum,Wtemp,name
2017-05-12,0.06,13.8,Lake Wood
2017-05-19,0.08,16.2,Lake Wood
2017-05-26,0.16,15.2,Lake Wood
2017-06-02,0.03,18.4,Lake Wood
2017-06-09,0.04,17.3,Lake Wood
2017-06-16,0.14,19.8,Lake Wood
2017-06-23,0.14,21.4,Lake Wood
2017-06-30,0.29,22.8,Lake Wood
2017-07-07,0.21,23.8,Lake Wood
2017-07-14,0.38,25.3,Lake Wood
2017-07-20,0.51,27.3,Lake Wood
2017-07-27,0.63,23.80,Lake Wood
2017-08-04,0.79,26.2,Lake Wood
2017-08-11,0.97,24.2,Lake Wood
2017-08-25,1.1,23.9,Lake Wood
2017-09-01,1.18,19.7,Lake Wood
2017-09-08,1.02,18.9,Lake Wood
2017-09-15,1.09,21.2,Lake Wood
2017-09-21,1.03,20.2,Lake Wood
2017-09-28,1.22,22.3,Lake Wood
2017-10-06,1.33,18.2,Lake Wood
2017-10-13,1.42,17.0,Lake Wood
2017-10-20,1.62,14.4,Lake Wood
2018-05-18,0.36,19.4,Lake Wood
2018-05-25,0.32,19.7,Lake Wood
2018-06-01,0.44,20.0,Lake Wood
2018-06-08,0.48,17.9,Lake Wood
2018-06-15,0.65,20.0,Lake Wood
2018-06-22,0.68,21.8,Lake Wood
2018-06-29,0.12,23.8,Lake Wood
2018-07-06,0.43,25.8,Lake Wood
2018-07-13,0.74,26.20,Lake Wood
2018-07-20,0.88,26.8,Lake Wood
2018-07-27,1.05,27.4,Lake Wood
2018-08-03,1.21,28.7,Lake Wood
2018-08-10,1.26,28.1,Lake Wood
2018-08-17,1.43,24.6,Lake Wood
2018-08-24,1.47,23.5,Lake Wood
2018-08-31,1.73,23.6,Lake Wood
2018-09-14,1.48,22.2,Lake Wood
2018-09-21,1.62,19.3,Lake Wood
2018-09-28,1.57,17.0,Lake Wood
2018-10-04,0.92,15.7,Lake Wood
2018-10-12,0.65,14.5,Lake Wood
2018-10-19,0.33,10.5,Lake Wood
2018-10-26,0.21,7.0,Lake Wood
2018-11-05,0.04,8.0,Lake Wood
2019-06-14,0.14,18.7,Lake Wood
2019-06-21,0.48,18.7,Lake Wood
2019-06-28,0.07,18.9,Lake Wood
2019-07-05,0.07,22.5,Lake Wood
2019-07-11,0.22,23.5,Lake Wood
2019-07-19,0.65,23.5,Lake Wood
