Date,Distance From Datum,Wtemp,name
2017-05-12,0.26,9.6,Long Pond
2017-05-19,0.1,12.4,Long Pond
2017-05-26,0.56,12.70,Long Pond
2017-06-02,0.7,13.5,Long Pond
2017-06-09,0.85,14.5,Long Pond
2017-06-16,1,16.6,Long Pond
2017-06-23,1.01,18.1,Long Pond
2017-06-29,1.18,21.9,Long Pond
2017-07-21,1.47,22.7,Long Pond
2017-07-27,1.6,21.4,Long Pond
2017-08-04,1.72,21.7,Long Pond
2017-08-11,1.8,22.1,Long Pond
2017-08-25,1.92,22.0,Long Pond
2017-09-01,2.02,20.0,Long Pond
2017-09-15,1.92,19.2,Long Pond
2017-09-21,1.97,20.3,Long Pond
2017-09-29,2.07,19.3,Long Pond
2017-10-06,2.2,18.1,Long Pond
2017-10-13,2.15,16.8,Long Pond
2017-10-20,2.21,16.0,Long Pond
2017-11-03,1.9,14.7,Long Pond
2018-04-27,0.3,6.4,Long Pond
2018-05-04,0.16,8.7,Long Pond
2018-05-18,0.75,15.0,Long Pond
2018-05-25,0.84,11.50,Long Pond
2018-06-01,1.01,16.1,Long Pond
2018-06-08,1.11,14.6,Long Pond
2018-06-15,1.2,16.9,Long Pond
2018-06-22,1.34,19.9,Long Pond
2018-06-29,1.1,22.0,Long Pond
2018-07-07,1.24,22.1,Long Pond
2018-07-13,1.34,23.4,Long Pond
2018-07-19,1.38,23.3,Long Pond
2018-07-27,1.46,24.3,Long Pond
2018-08-03,1.53,24.1,Long Pond
2018-08-17,1.67,24.5,Long Pond
2018-08-24,1.71,22.8,Long Pond
2018-08-31,1.87,23.0,Long Pond
2018-09-06,1.92,23.0,Long Pond
2018-09-14,1.58,20.9,Long Pond
2018-09-20,1.64,20.5,Long Pond
2018-09-28,1.59,18.2,Long Pond
2018-10-04,1.28,16.9,Long Pond
2018-10-12,1.21,15.7,Long Pond
2018-10-19,1.08,13.0,Long Pond
2018-11-05,0.45,9.8,Long Pond
2019-05-17,0.8,9.2,Long Pond
2019-05-23,0.92,10.6,Long Pond
2019-05-30,0.85,13,Long Pond
2019-06-07,0.89,15.10,Long Pond
2019-06-14,0.47,13.9,Long Pond
2019-06-21,0.03,16.40,Long Pond
2019-06-27,0.01,17.80,Long Pond
2019-07-05,0.4,22.4,Long Pond
2019-07-12,0.73,19.2,Long Pond
2019-07-19,0.93,22.5,Long Pond
