Date,Distance From Datum,Wtemp,name
2017-06-09,0.44,17.6,Lower Breakneck Pond
2017-06-16,0.45,20.1,Lower Breakneck Pond
2017-06-23,0.44,21.8,Lower Breakneck Pond
2017-06-30,0.05,22.1,Lower Breakneck Pond
2017-07-07,0.09,22.8,Lower Breakneck Pond
2017-07-14,0.29,22.7,Lower Breakneck Pond
2017-07-27,0.19,21.4,Lower Breakneck Pond
2017-08-04,0.32,24.4,Lower Breakneck Pond
2017-08-11,0.41,26.1,Lower Breakneck Pond
2017-08-25,0.44,22.0,Lower Breakneck Pond
2017-09-01,0.52,18.9,Lower Breakneck Pond
2017-09-15,0.33,20.7,Lower Breakneck Pond
2017-09-22,0.26,19.6,Lower Breakneck Pond
2017-09-29,0.34,22.2,Lower Breakneck Pond
2017-10-06,0.44,16.5,Lower Breakneck Pond
2017-10-13,0.32,15.5,Lower Breakneck Pond
2017-10-20,0.39,13.7,Lower Breakneck Pond
2017-10-27,0.04,14.7,Lower Breakneck Pond
2018-05-11,0.3,13.1,Lower Breakneck Pond
2018-05-18,0.24,18.8,Lower Breakneck Pond
2018-05-25,0.33,16.3,Lower Breakneck Pond
2018-06-01,0.34,19.9,Lower Breakneck Pond
2018-06-08,0.31,16.4,Lower Breakneck Pond
2018-06-15,0.39,18.3,Lower Breakneck Pond
2018-06-22,0.4,21.3,Lower Breakneck Pond
2018-06-29,0.06,19.5,Lower Breakneck Pond
2018-07-06,0.21,25.9,Lower Breakneck Pond
2018-07-13,0.28,23.0,Lower Breakneck Pond
2018-07-20,0.3,23.2,Lower Breakneck Pond
2018-07-27,0.31,23.5,Lower Breakneck Pond
2018-08-03,0.4,24.7,Lower Breakneck Pond
2018-08-10,0.37,27.2,Lower Breakneck Pond
2018-08-17,0.45,24.3,Lower Breakneck Pond
2018-08-23,0.46,23.0,Lower Breakneck Pond
2018-08-31,0.56,22.9,Lower Breakneck Pond
2018-09-07,0.64,22.5,Lower Breakneck Pond
2018-09-14,0.33,19.7,Lower Breakneck Pond
2018-09-21,0.34,18.6,Lower Breakneck Pond
2018-09-28,0.28,16.8,Lower Breakneck Pond
2018-10-04,0.19,14.7,Lower Breakneck Pond
2018-10-12,0.18,14.1,Lower Breakneck Pond
2018-10-19,0.28,9.5,Lower Breakneck Pond
2018-10-26,0.24,4.1,Lower Breakneck Pond
2018-11-05,0.23,7.9,Lower Breakneck Pond
2019-06-14,0.05,17.6,Lower Breakneck Pond
2019-06-20,0.33,20.8,Lower Breakneck Pond
2019-06-28,0.34,18.7,Lower Breakneck Pond
2019-07-05,0.44,23.8,Lower Breakneck Pond
2019-07-12,0.37,22.0,Lower Breakneck Pond
2019-07-19,0.42,23.5,Lower Breakneck Pond
