Date,Distance From Datum,Wtemp,name
2017-05-12,0.24,12.1,Lower Hadlock Pond
2017-05-19,0.16,18.6,Lower Hadlock Pond
2017-05-26,0.13,16.50,Lower Hadlock Pond
2017-06-02,0.19,17.70,Lower Hadlock Pond
2017-06-09,0.11,16.7,Lower Hadlock Pond
2017-06-16,0.09,20.1,Lower Hadlock Pond
2017-06-23,0.07,20.4,Lower Hadlock Pond
2017-06-29,0.06,22.9,Lower Hadlock Pond
2017-07-07,0.01,23.6,Lower Hadlock Pond
2017-07-14,0.26,23.4,Lower Hadlock Pond
2017-07-21,0.61,25.2,Lower Hadlock Pond
2017-07-27,0.96,24.3,Lower Hadlock Pond
2017-08-04,1.49,25.7,Lower Hadlock Pond
2017-08-11,1.84,25.3,Lower Hadlock Pond
2017-08-25,1.75,22.7,Lower Hadlock Pond
2017-09-01,1.88,20.4,Lower Hadlock Pond
2017-09-15,1.84,20.5,Lower Hadlock Pond
2017-09-21,2,20.0,Lower Hadlock Pond
2017-09-29,2.28,20.4,Lower Hadlock Pond
2017-10-06,2.27,17.7,Lower Hadlock Pond
2017-10-13,2.46,16.8,Lower Hadlock Pond
2017-10-20,2.75,15.3,Lower Hadlock Pond
2017-10-27,0.69,14.5,Lower Hadlock Pond
2017-11-03,0.1,13.5,Lower Hadlock Pond
2018-04-27,2.69,9.9,Lower Hadlock Pond
2018-05-04,3.29,15.4,Lower Hadlock Pond
2018-05-11,3.39,14.9,Lower Hadlock Pond
2018-05-18,3.36,19.0,Lower Hadlock Pond
2018-05-25,3.38,15.5,Lower Hadlock Pond
2018-06-01,3.64,21.1,Lower Hadlock Pond
2018-06-08,3.77,17.1,Lower Hadlock Pond
2018-06-15,4.13,18.8,Lower Hadlock Pond
2018-06-22,4.5,21.8,Lower Hadlock Pond
2018-06-29,4.01,25.8,Lower Hadlock Pond
2018-07-05,3.49,28.6,Lower Hadlock Pond
2018-07-13,3.99,25.5,Lower Hadlock Pond
2018-07-20,4.4,26.2,Lower Hadlock Pond
2018-07-27,4.77,28.0,Lower Hadlock Pond
2018-08-03,5.23,26.1,Lower Hadlock Pond
2018-08-10,5.36,26.5,Lower Hadlock Pond
2018-08-17,5.05,25.0,Lower Hadlock Pond
2018-08-24,5.35,25.0,Lower Hadlock Pond
2018-08-31,5.78,23.7,Lower Hadlock Pond
2018-09-06,6,25.7,Lower Hadlock Pond
2018-09-14,4.95,20.4,Lower Hadlock Pond
2018-09-20,4.9,19.0,Lower Hadlock Pond
2018-09-28,4.65,17.3,Lower Hadlock Pond
2018-10-04,3.06,16.2,Lower Hadlock Pond
2018-10-12,3.12,13.7,Lower Hadlock Pond
2018-10-19,3.12,11.7,Lower Hadlock Pond
2018-10-26,3.25,8.4,Lower Hadlock Pond
2018-11-05,3.08,8.5,Lower Hadlock Pond
2018-11-15,3.05,4.9,Lower Hadlock Pond
2019-05-17,3.29,11.8,Lower Hadlock Pond
2019-05-30,3.28,NA,Lower Hadlock Pond
2019-06-07,3.26,17.5,Lower Hadlock Pond
2019-06-14,2.75,18.2,Lower Hadlock Pond
2019-06-21,2.42,18.0,Lower Hadlock Pond
2019-06-28,3.08,21.5,Lower Hadlock Pond
2019-07-05,3.35,24.8,Lower Hadlock Pond
2019-07-12,3.35,22.0,Lower Hadlock Pond
2019-07-15,3.35,24.6,Lower Hadlock Pond
