Date,Distance From Datum,Wtemp,name
2017-05-05,0.79,12.3,Round Pond
2017-05-12,0.59,13.9,Round Pond
2017-05-19,0.55,20.9,Round Pond
2017-05-26,0.53,14.5,Round Pond
2017-06-02,0.36,21.30,Round Pond
2017-06-09,0.47,16.8,Round Pond
2017-06-16,0.47,19.6,Round Pond
2017-06-23,0.38,21.4,Round Pond
2017-06-29,0.4,22.5,Round Pond
2017-07-07,0.35,23.5,Round Pond
2017-07-14,0.39,21.3,Round Pond
2017-07-21,0.51,28.3,Round Pond
2017-07-27,0.54,22.6,Round Pond
2017-08-04,0.62,25.6,Round Pond
2017-08-11,0.69,26.1,Round Pond
2017-08-25,0.74,22.4,Round Pond
2017-09-01,0.85,20.4,Round Pond
2017-09-15,0.82,19.1,Round Pond
2017-09-21,0.88,21.1,Round Pond
2017-09-29,0.97,19.0,Round Pond
2017-10-06,1,16.3,Round Pond
2017-10-13,0.95,13.2,Round Pond
2017-10-20,0.98,15.0,Round Pond
2017-11-03,0.64,13.9,Round Pond
2018-05-04,0.02,14.5,Round Pond
2018-05-11,0.85,15.0,Round Pond
2018-05-25,0.94,16.50,Round Pond
2018-06-01,1.06,22.7,Round Pond
2018-06-08,1.03,16.5,Round Pond
2018-06-15,1.1,20.7,Round Pond
2018-06-22,1.21,21.9,Round Pond
2018-07-07,0.85,21.5,Round Pond
2018-07-13,0.94,27.4,Round Pond
2018-07-20,1.01,21.2,Round Pond
2018-07-27,1.02,27.3,Round Pond
2018-08-03,1.05,25.2,Round Pond
2018-08-10,1.06,29.2,Round Pond
2018-08-17,1.15,25.5,Round Pond
2018-08-24,1.2,24.0,Round Pond
2018-08-31,1.3,20.1,Round Pond
2018-09-14,1,21.5,Round Pond
2018-09-20,1.07,19.4,Round Pond
2018-09-28,0.96,18.1,Round Pond
2018-10-04,0.61,15.2,Round Pond
2018-10-12,0.38,13.7,Round Pond
2018-10-19,0.06,7.1,Round Pond
2018-10-26,0.04,3.9,Round Pond
2018-11-15,0.29,1.9,Round Pond
2019-06-07,0.49,21.5,Round Pond
2019-06-14,0.08,19.0,Round Pond
2019-06-21,0.02,18.3,Round Pond
2019-06-27,0.37,21.2,Round Pond
2019-07-05,0.52,27.2,Round Pond
2019-07-12,0.45,21.0,Round Pond
2019-07-19,0.47,24.6,Round Pond
