Date,Distance From Datum,Wtemp,name
1999-06-07,-1.23,n/a,Seal Cove
1999-06-17,-1.52,n/a,Seal Cove
1999-06-25,-1.65,n/a,Seal Cove
1999-07-02,-1.77,n/a,Seal Cove
1999-07-08,-1.86,n/a,Seal Cove
1999-07-14,-1.85,n/a,Seal Cove
1999-07-23,-1.89,n/a,Seal Cove
1999-08-02,-2.09,n/a,Seal Cove
1999-08-13,-2.19,n/a,Seal Cove
1999-08-19,-2.21,n/a,Seal Cove
1999-08-25,-2.27,n/a,Seal Cove
1999-09-03,-2.4,n/a,Seal Cove
1999-09-10,-2.44,n/a,Seal Cove
1999-09-18,-2.24,n/a,Seal Cove
1999-09-23,-1.57,n/a,Seal Cove
1999-09-27,-1.28,n/a,Seal Cove
1999-10-07,-1.19,n/a,Seal Cove
1999-10-15,-1.11,n/a,Seal Cove
1999-10-22,-1.06,n/a,Seal Cove
1999-11-15,-0.74,n/a,Seal Cove
2000-05-11,-0.3,10.1,Seal Cove
2000-05-18,-0.36,13.1,Seal Cove
2000-05-25,-0.26,12.7,Seal Cove
2000-05-31,-0.36,n/a,Seal Cove
2000-06-09,-0.51,16.2,Seal Cove
2000-06-16,-0.91,15.4,Seal Cove
2000-06-19,-0.79,22.8,Seal Cove
2000-06-26,-1.01,25.1,Seal Cove
2000-07-02,-1.23,21.2,Seal Cove
2000-07-10,-1.45,23.9,Seal Cove
2000-07-17,-1.41,20.4,Seal Cove
2000-07-28,-1.61,n/a,Seal Cove
2000-07-31,-1.62,n/a,Seal Cove
2000-08-06,-1.68,24.5,Seal Cove
2000-08-14,-1.69,21.8,Seal Cove
2000-08-25,-1.75,23.4,Seal Cove
2000-08-31,-1.8,22.7,Seal Cove
2000-09-08,-1.87,22.4,Seal Cove
2000-09-14,-1.92,21.3,Seal Cove
2000-09-21,-1.92,18.8,Seal Cove
2000-09-27,-1.92,n/a,Seal Cove
2000-10-05,-2.02,15.9,Seal Cove
2000-10-13,-1.93,13.2,Seal Cove
2000-10-19,-1.82,11.3,Seal Cove
2000-10-26,-1.8,12,Seal Cove
2000-11-02,-1.12,8.3,Seal Cove
2000-11-09,-1.01,9.1,Seal Cove
2001-05-25,1.07,18.8,Seal Cove
