Date,Distance From Datum,Wtemp,name
2017-05-05,1.2,12.1,Seawall
2017-05-12,1.82,13.0,Seawall
2017-05-19,1.39,23.8,Seawall
2017-05-26,0.69,15.7,Seawall
2017-06-02,0.53,17.1,Seawall
2017-06-09,1.7,15.6,Seawall
2017-06-16,1.4,18.8,Seawall
2017-06-23,1.73,20.1,Seawall
2017-06-29,1.75,24.6,Seawall
2017-07-07,1.3,23.1,Seawall
2017-07-14,1.41,20.6,Seawall
2017-07-21,1.8,25.8,Seawall
2017-07-27,1.89,25.9,Seawall
2017-08-04,2.1,25.1,Seawall
2017-08-25,2.15,23.3,Seawall
2017-09-15,2.16,18.9,Seawall
2017-09-21,2.18,23.2,Seawall
2017-09-29,2.28,19.7,Seawall
2017-10-06,2.35,16.8,Seawall
2017-10-13,2.27,11.7,Seawall
2017-10-20,2.29,17.7,Seawall
2017-11-03,1.06,12.6,Seawall
2018-05-04,1.16,14.3,Seawall
2018-05-11,1.37,14.0,Seawall
2018-05-25,1.5,15.1,Seawall
2018-06-01,1.46,21.3,Seawall
2018-06-15,1.6,18.2,Seawall
2018-07-07,1.29,25.2,Seawall
2018-07-13,1.45,25.0,Seawall
2018-07-27,1.71,27.2,Seawall
2018-08-10,1.74,29.1,Seawall
2018-08-31,2.02,19.4,Seawall
2018-09-14,1.15,19.0,Seawall
2018-09-20,1.38,18.6,Seawall
2018-10-12,1.14,12.9,Seawall
2018-10-19,1.28,6.5,Seawall
2018-10-26,1.58,1.9,Seawall
2019-05-17,0.85,11.5,Seawall
2019-05-30,0.77,13.6,Seawall
2019-06-14,0.08,14.7,Seawall
2019-06-21,0.2,16.2,Seawall
2019-07-12,1.27,18.2,Seawall
