Date,Distance From Datum,Wtemp,name
2000-05-19,-0.5,13.4,The Tarn
2000-06-08,-0.42,17,The Tarn
2000-06-14,-0.43,19.1,The Tarn
2000-06-19,-0.49,21.1,The Tarn
2000-06-26,-0.52,24.2,The Tarn
2000-07-03,-0.62,22.5,The Tarn
2000-07-10,-0.63,20.8,The Tarn
2000-07-17,0.12,19.6,The Tarn
2000-07-24,-0.22,20.9,The Tarn
2000-08-02,-0.89,20.5,The Tarn
2000-08-07,-0.97,20,The Tarn
2000-08-14,-0.91,20.4,The Tarn
2000-08-24,-0.84,18,The Tarn
2000-08-31,-0.99,19.9,The Tarn
2000-09-08,-0.99,15.2,The Tarn
2000-09-14,-0.95,17.4,The Tarn
2000-09-21,-0.85,16.8,The Tarn
2000-09-28,-0.79,11.7,The Tarn
2000-10-05,-0.79,13,The Tarn
2000-10-13,-0.64,10.6,The Tarn
2000-10-20,-0.2,8.4,The Tarn
2000-10-26,-0.13,11.4,The Tarn
2000-11-02,0,6,The Tarn
2000-11-09,0.6,8.6,The Tarn
2001-05-31,-0.04,13.9,The Tarn
2001-06-07,0.39,15.7,The Tarn
2001-06-15,0.28,24.9,The Tarn
2001-06-21,0.12,20.7,The Tarn
2001-07-05,0.09,22,The Tarn
2001-07-13,0.56,20.3,The Tarn
2001-07-20,0.69,27.6,The Tarn
2001-07-27,0.75,22.1,The Tarn
2001-08-01,0.81,21.4,The Tarn
2001-08-17,0.98,20.9,The Tarn
2001-08-22,0.97,21.9,The Tarn
2001-08-31,1.1,19.1,The Tarn
2001-09-06,1.09,16.4,The Tarn
2001-09-14,1.21,15.6,The Tarn
2001-09-21,1.31,15.8,The Tarn
2001-09-26,1.02,22.8,The Tarn
2001-10-04,0.96,15.8,The Tarn
2001-10-11,1.03,10.6,The Tarn
2001-10-17,0.48,n/a,The Tarn
2001-10-25,0.28,13.5,The Tarn
2001-11-01,0.3,7.1,The Tarn
2001-11-16,-0.01,6,The Tarn
2001-11-23,-0.05,3.1,The Tarn
2001-11-30,-0.47,5.2,The Tarn
2001-12-06,-0.43,7,The Tarn
2001-12-14,-0.54,3.7,The Tarn
2002-05-17,-0.7,12,The Tarn
2002-06-07,-0.45,13.3,The Tarn
2002-06-28,-0.3,17.9,The Tarn
2002-07-05,-0.33,19.9,The Tarn
2002-07-12,-0.45,19.8,The Tarn
2002-07-19,-0.49,21.3,The Tarn
2002-07-26,-0.28,19.8,The Tarn
2002-08-09,-0.21,n/a,The Tarn
2002-08-16,-0.08,n/a,The Tarn
2002-08-23,0.02,20.8,The Tarn
2003-05-30,-1.1,16.9,The Tarn
2003-06-06,-0.5,15.3,The Tarn
2003-06-12,-0.6,16.1,The Tarn
2003-06-19,-0.8,15.8,The Tarn
2003-06-27,-0.52,25.5,The Tarn
2003-07-03,-0.27,21.6,The Tarn
2003-07-11,-0.24,19.8,The Tarn
2003-07-22,0.05,n/a,The Tarn
2003-08-01,0,21.6,The Tarn
2003-08-07,0.02,22.2,The Tarn
2003-08-15,0.02,25.5,The Tarn
2003-08-21,0.14,23.4,The Tarn
2003-08-29,0.24,16.3,The Tarn
2003-09-05,0.17,20.3,The Tarn
2003-09-12,0.21,20.1,The Tarn
2003-09-19,0.25,18.8,The Tarn
2003-10-24,-0.29,5.6,The Tarn
2004-05-06,0.64,n/a,The Tarn
2004-05-20,0.85,20.7,The Tarn
2004-05-28,0.56,10.4,The Tarn
2004-06-04,0.74,NA,The Tarn
2004-06-10,0.9,23,The Tarn
2004-06-18,0.93,21.9,The Tarn
2004-06-25,0.95,NA,The Tarn
2004-07-02,0.82,20.3,The Tarn
2004-07-09,0.67,20,The Tarn
2004-07-16,0.45,19.3,The Tarn
2004-07-30,0.12,22.1,The Tarn
2004-08-06,0.17,22.1,The Tarn
2004-08-12,-0.27,19.8,The Tarn
2004-08-20,-0.23,20,The Tarn
2004-08-27,-0.05,18.8,The Tarn
2004-09-03,-0.05,18.8,The Tarn
2004-09-13,-0.16,18.9,The Tarn
2004-09-20,-0.34,12.7,The Tarn
2004-09-27,-0.28,19.2,The Tarn
2005-04-21,0.33,13.3,The Tarn
2005-04-29,-0.15,9.1,The Tarn
2005-05-13,0.39,10.6,The Tarn
2005-05-20,0.37,14.9,The Tarn
2005-05-27,0.38,9.3,The Tarn
2005-06-03,0.29,18,The Tarn
2005-06-10,0.28,20.7,The Tarn
2005-06-16,-0.08,14.7,The Tarn
2005-06-23,0,21.2,The Tarn
