Date,Distance From Datum,Wtemp,name
2017-06-02,1.15,16.80,Upper Breakneck Pond
2017-06-09,1.24,14.1,Upper Breakneck Pond
2017-06-16,1.21,15.2,Upper Breakneck Pond
2017-06-23,1.49,19.9,Upper Breakneck Pond
2017-06-30,1.24,21.2,Upper Breakneck Pond
2017-07-07,1.21,20.2,Upper Breakneck Pond
2017-07-14,1.23,18.7,Upper Breakneck Pond
2017-07-27,1.55,21.1,Upper Breakneck Pond
2017-08-04,1.59,24.8,Upper Breakneck Pond
2017-08-11,1.6,31.4,Upper Breakneck Pond
2017-08-25,1.87,19.2,Upper Breakneck Pond
2017-09-01,1.81,11.0,Upper Breakneck Pond
2017-09-15,1.59,20.0,Upper Breakneck Pond
2017-09-22,1.62,14.8,Upper Breakneck Pond
2017-09-28,1.75,22.2,Upper Breakneck Pond
2017-10-06,1.87,13.4,Upper Breakneck Pond
2017-10-13,1.77,6.8,Upper Breakneck Pond
2017-10-20,1.7,9.5,Upper Breakneck Pond
2017-10-27,1.47,10.0,Upper Breakneck Pond
2018-05-11,1.96,11.8,Upper Breakneck Pond
2018-05-18,2.17,19.3,Upper Breakneck Pond
2018-06-01,1.92,17.1,Upper Breakneck Pond
2018-06-15,1.94,11.9,Upper Breakneck Pond
2018-06-22,1.93,17.4,Upper Breakneck Pond
2018-06-29,1.7,15.6,Upper Breakneck Pond
2018-07-06,2.01,22.6,Upper Breakneck Pond
2018-07-13,2,15.8,Upper Breakneck Pond
2018-07-27,1.97,19.2,Upper Breakneck Pond
2018-10-04,1.78,13.4,Upper Breakneck Pond
2018-10-12,1.64,12.0,Upper Breakneck Pond
2018-10-26,1.72,1.4,Upper Breakneck Pond
2019-06-14,1.82,18.0,Upper Breakneck Pond
