Date,Distance From Datum,Wtemp,name
1999-06-02,-0.71,n/a,Witch Hole
1999-06-11,-0.83,n/a,Witch Hole
1999-06-17,-0.91,n/a,Witch Hole
1999-06-25,-1.01,n/a,Witch Hole
1999-06-30,-1.03,n/a,Witch Hole
1999-07-16,-1.17,n/a,Witch Hole
1999-07-23,-1.29,n/a,Witch Hole
1999-08-03,-1.45,n/a,Witch Hole
1999-08-13,-1.55,n/a,Witch Hole
1999-08-19,-1.56,n/a,Witch Hole
1999-08-23,-1.6,n/a,Witch Hole
1999-09-03,-1.68,n/a,Witch Hole
1999-09-10,-1.68,n/a,Witch Hole
1999-09-17,-1.52,n/a,Witch Hole
1999-09-23,-0.76,n/a,Witch Hole
1999-09-27,-0.92,n/a,Witch Hole
1999-10-07,-0.88,n/a,Witch Hole
1999-10-15,-0.8,n/a,Witch Hole
1999-10-22,-0.79,n/a,Witch Hole
2000-05-03,-0.41,12,Witch Hole
2000-05-11,-0.31,11.4,Witch Hole
2000-05-19,-0.35,13.4,Witch Hole
2000-05-25,-0.33,13.2,Witch Hole
2000-06-02,-0.41,n/a,Witch Hole
2000-06-08,-0.42,17,Witch Hole
2000-06-14,-0.47,19.1,Witch Hole
2000-06-19,-0.45,21.1,Witch Hole
2000-06-26,-0.54,24.2,Witch Hole
2000-07-03,-0.64,22.5,Witch Hole
2000-07-10,-0.67,20.8,Witch Hole
2000-07-17,-0.52,19.6,Witch Hole
2000-07-24,-0.6,21.1,Witch Hole
2000-08-02,-0.72,21.9,Witch Hole
2000-08-09,-0.79,22.9,Witch Hole
2000-08-14,-0.86,21.6,Witch Hole
2000-08-25,-0.96,23.2,Witch Hole
2000-09-01,-1.07,24.1,Witch Hole
2000-09-08,-1.08,19.7,Witch Hole
2000-09-14,-1.1,20.8,Witch Hole
2000-09-21,-1.05,18.1,Witch Hole
2000-09-26,-1.04,n/a,Witch Hole
2000-10-05,-1.11,14.6,Witch Hole
2000-10-16,-0.94,12,Witch Hole
2000-10-20,-0.8,11.3,Witch Hole
2000-11-02,-0.68,7.5,Witch Hole
2000-11-09,-0.72,8.4,Witch Hole
2001-05-21,0.51,15.9,Witch Hole
2001-05-31,0.61,17,Witch Hole
2001-06-07,0.44,20.2,Witch Hole
2001-06-22,0.59,21.9,Witch Hole
2001-06-25,0.55,24.2,Witch Hole
2001-07-06,0.82,25,Witch Hole
2001-07-13,0.9,21.4,Witch Hole
2001-07-20,0.99,23.2,Witch Hole
2001-07-27,1.13,n/a,Witch Hole
2001-08-03,1.25,22.7,Witch Hole
2001-08-16,1.47,22.4,Witch Hole
2001-08-24,1.42,22.2,Witch Hole
2001-08-31,1.62,21.4,Witch Hole
2001-09-07,1.72,21.1,Witch Hole
2001-11-30,1.65,5.8,Witch Hole
2001-12-06,1.65,6.8,Witch Hole
2002-05-17,0.28,12.8,Witch Hole
2002-05-31,0.45,17.6,Witch Hole
2002-06-07,0.5,16.8,Witch Hole
2002-06-14,0.55,17.1,Witch Hole
2002-07-19,0.65,23,Witch Hole
2002-08-29,1.3,22.2,Witch Hole
2003-05-30,0.1,17.4,Witch Hole
2003-06-11,0.12,19.5,Witch Hole
2003-06-19,0.13,17.5,Witch Hole
2003-06-27,0.26,27.9,Witch Hole
2003-07-03,0.34,23.3,Witch Hole
2003-07-11,0.51,22.3,Witch Hole
2003-07-22,0.6,n/a,Witch Hole
2003-08-01,0.64,23.3,Witch Hole
2003-08-08,0.6,23.1,Witch Hole
2003-08-22,0.78,26.7,Witch Hole
2003-08-28,0.97,21.7,Witch Hole
2003-09-05,0.9,n/a,Witch Hole
2003-09-12,1.22,21,Witch Hole
2003-09-18,1.07,20.5,Witch Hole
2003-09-26,1.04,18.5,Witch Hole
2003-10-03,0.93,16.8,Witch Hole
2003-10-24,0.56,8,Witch Hole
2004-05-20,0.2,18.9,Witch Hole
2004-05-28,0.07,12.7,Witch Hole
2004-06-04,0.1,15.7,Witch Hole
2004-06-10,0.12,20,Witch Hole
2004-06-18,0.31,21.4,Witch Hole
2004-06-25,0.43,18.4,Witch Hole
2004-07-02,0.32,21.5,Witch Hole
2004-07-09,0.38,21.5,Witch Hole
2004-07-16,0.41,21.5,Witch Hole
2004-07-23,0.47,24.2,Witch Hole
2004-07-30,0.48,23.8,Witch Hole
2004-08-06,0.55,24.9,Witch Hole
2004-08-13,0.58,21.7,Witch Hole
2004-08-20,0.34,21.6,Witch Hole
2004-08-27,0.26,23.5,Witch Hole
2004-09-03,0.39,23.1,Witch Hole
2004-09-13,0.38,20.9,Witch Hole
2004-09-20,0.17,16.4,Witch Hole
2004-09-27,0.3,19.3,Witch Hole
2004-10-15,0.4,13.1,Witch Hole
2005-04-26,-0.16,11.6,Witch Hole
2005-05-13,-0.05,13,Witch Hole
2005-05-17,-0.01,11.6,Witch Hole
2005-05-20,-0.01,13.1,Witch Hole
2005-06-03,0,16.7,Witch Hole
2005-06-10,0.14,23.7,Witch Hole
2005-06-17,-0.13,NA,Witch Hole
2005-06-24,0.01,19.2,Witch Hole
2005-07-01,0.11,22.6,Witch Hole
2005-07-08,0.25,20.6,Witch Hole
2005-07-15,0.23,21.9,Witch Hole
2005-07-22,0.36,24.8,Witch Hole
2005-07-29,0.52,25.1,Witch Hole
2005-08-05,0.46,23.1,Witch Hole
2005-08-11,0.58,27.3,Witch Hole
2005-08-19,0.57,25.3,Witch Hole
2005-08-27,0.71,24.2,Witch Hole
2005-09-02,0.56,22.6,Witch Hole
2005-09-08,0.64,24.6,Witch Hole
2005-09-16,0.75,19.6,Witch Hole
2005-09-23,0.72,18.1,Witch Hole
2005-09-30,0.65,17.8,Witch Hole
2005-10-07,0.75,18.5,Witch Hole
2005-10-13,0,13.1,Witch Hole
2005-10-21,0.4,.,Witch Hole
2005-10-28,-0.3,9.3,Witch Hole
2005-11-04,0.1,7.8,Witch Hole
2005-11-10,-0.15,8.1,Witch Hole
2005-11-17,0.05,7.3,Witch Hole
2006-04-13,0.22,9.4,Witch Hole
2006-04-21,0.18,10.8,Witch Hole
2006-04-28,0.25,11.8,Witch Hole
2006-05-05,0.17,18.2,Witch Hole
2006-05-12,-0.1,11.7,Witch Hole
2006-05-19,0,14.6,Witch Hole
2006-05-22,0.04,n/a,Witch Hole
2006-06-02,0.16,20.6,Witch Hole
2006-06-09,-0.23,16.5,Witch Hole
2006-06-16,0,23.6,Witch Hole
2006-06-23,0.13,20.3,Witch Hole
2006-06-30,0,21.6,Witch Hole
2006-07-07,0.13,26.3,Witch Hole
2006-07-13,-0.07,23.8,Witch Hole
2006-07-21,0,25.6,Witch Hole
2006-07-28,-0.04,23.8,Witch Hole
2006-08-04,-0.05,24.8,Witch Hole
2006-08-10,0.05,24.8,Witch Hole
2006-08-18,0.1,23.1,Witch Hole
2006-08-25,0.08,22.4,Witch Hole
2006-09-01,0.13,22.2,Witch Hole
2006-09-08,0.09,19.7,Witch Hole
2006-09-14,0.18,20.2,Witch Hole
2006-09-21,0.25,19.4,Witch Hole
2006-09-29,0.37,16.5,Witch Hole
2006-10-04,0.37,15.7,Witch Hole
2006-10-13,0.29,13.8,Witch Hole
2006-10-20,0.25,12.7,Witch Hole
2006-10-27,0.14,10.5,Witch Hole
2006-11-03,0.09,8.4,Witch Hole
2006-11-09,-0.04,9.6,Witch Hole
2006-12-01,0.25,6.9,Witch Hole
2007-05-04,0.07,13.2,Witch Hole
2007-05-11,0.23,15.8,Witch Hole
2007-05-18,0.05,11.7,Witch Hole
2007-05-24,0.12,21.2,Witch Hole
2007-06-01,0.22,19.9,Witch Hole
2007-06-08,0.08,19.8,Witch Hole
2007-06-15,0.22,21.4,Witch Hole
2007-06-22,0.33,20.9,Witch Hole
2007-06-29,0.42,23.3,Witch Hole
2007-07-06,0.36,23.4,Witch Hole
2007-07-13,0.42,24.2,Witch Hole
2007-07-20,0.41,21.7,Witch Hole
2007-07-27,0.56,20.6,Witch Hole
2007-08-03,0.68,28.3,Witch Hole
2007-08-10,0.6,22.1,Witch Hole
2007-08-17,0.66,24.2,Witch Hole
2007-08-24,0.77,20.7,Witch Hole
2007-08-31,0.92,27.3,Witch Hole
2007-09-07,1.03,19.3,Witch Hole
2007-09-14,0.82,20.6,Witch Hole
2007-09-21,0.83,20.1,Witch Hole
2007-09-28,0.9,20.1,Witch Hole
2007-10-05,0.97,19.3,Witch Hole
2007-10-12,0.89,15.6,Witch Hole
2007-10-19,0.74,13.6,Witch Hole
2007-10-26,0.53,13.6,Witch Hole
2007-11-02,0.56,10.8,Witch Hole
2007-11-09,0.09,7.9,Witch Hole
2007-11-16,0.18,7.3,Witch Hole
2007-11-23,0.25,4.9,Witch Hole
2007-12-14,1.56,3.9,Witch Hole
2008-05-09,0.07,17.3,Witch Hole
2008-05-16,0.21,23.1,Witch Hole
2008-05-23,0.25,16.4,Witch Hole
2008-05-30,0.34,18.3,Witch Hole
2008-06-06,0.25,18,Witch Hole
2008-06-13,0.44,23.6,Witch Hole
2008-06-20,0.35,18.7,Witch Hole
2008-06-27,0.5,24.6,Witch Hole
2008-07-03,0.56,23.6,Witch Hole
2008-07-11,0.69,25.8,Witch Hole
2008-07-18,0.89,25.2,Witch Hole
2008-07-25,0.56,24.1,Witch Hole
2008-08-01,0.55,23.3,Witch Hole
2008-08-08,0.12,21.2,Witch Hole
2008-08-15,0.03,25.1,Witch Hole
2008-08-22,0.12,21.6,Witch Hole
2008-08-29,0.23,20.2,Witch Hole
2008-09-05,0.33,22.3,Witch Hole
2008-09-12,0.07,18.7,Witch Hole
2008-09-19,0.12,17.7,Witch Hole
2008-09-26,0.26,17.5,Witch Hole
2008-10-02,-0.12,16.9,Witch Hole
2008-10-10,0.11,14.4,Witch Hole
2008-10-17,0.2,13.3,Witch Hole
2008-10-24,0.3,9.3,Witch Hole
2008-10-31,0.16,9.2,Witch Hole
2008-11-07,0.19,10.8,Witch Hole
2008-11-14,0.2,8.3,Witch Hole
2008-11-21,0.05,5,Witch Hole
2009-05-15,-0.09,15,Witch Hole
2009-05-23,-0.07,20.6,Witch Hole
2009-05-29,-0.14,14.9,Witch Hole
2009-06-05,-0.08,18.7,Witch Hole
2009-06-12,-0.51,18.1,Witch Hole
2009-06-19,-0.14,19.7,Witch Hole
2009-06-26,-0.25,22.8,Witch Hole
2009-07-02,-0.26,n/a,Witch Hole
2009-07-10,-0.25,25.3,Witch Hole
2009-07-17,-0.14,22,Witch Hole
2009-07-24,-0.28,21.1,Witch Hole
2009-07-31,-0.12,26.2,Witch Hole
2009-08-07,-0.15,23.9,Witch Hole
2009-08-14,-0.03,25.2,Witch Hole
2009-08-21,0.07,26.3,Witch Hole
2009-08-28,-0.1,24.2,Witch Hole
2009-09-04,-0.32,24.3,Witch Hole
2009-09-11,-0.11,20.7,Witch Hole
